12:06:30:678 [ALWAYS]	GUDE Logging Started
12:06:30:678 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:06:30:678 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:06:30:678 [ERROR]	Initialize resume cache pointer failure
12:06:30:678 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
12:06:30:678 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
12:06:37:388 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
12:06:37:388 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:06:37:388 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:06:37:389 [ERROR]	Initialize resume cache pointer failure
12:06:37:389 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
12:06:37:389 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
